Diametro (mm),Seccion (mm2),Capacidad (A),Resistencia (O/Km.)
0.05,0.00,0.01,8500.00
0.51,0.20,0.58,85.00
1.02,0.82,2.50,20.73
2.05,3.31,9.50,5.13
2.91,6.63,19.00,2.56
3.67,10.55,30.00,1.70
4.62,16.77,48.00,1.01
5.83,26.67,78.00,1.63
6.54,33.63,96.00,1.50
7.35,42.41,120.00,1.40
8.25,53.48,150.00,0.32
9.23,67.43,190.00,0.25
10.40,85.30,240.00,0.20
11.86,107.20,319.00,0.16
